id,window_id,asset,placed,seconds_to_close,bid,distance,reason,pre_data,timestamp
170,fifteen_min_KXSOL15M-26MAR081900,sol,0,46.0,0,0.0888000000000062,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.935, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.08880000000000621}",1773010755.28689
171,fifteen_min_KXXRP15M-26MAR081900,xrp,0,45.0,0,0.00165000000000015,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34513, ""spot_coinbase"": 1.34495, ""distance_kraken"": 0.0018299999999999983, ""distance_coinbase"": 0.0016500000000001513}",1773010755.99591
172,fifteen_min_KXBTC15M-26MAR081900,btc,0,44.0,0,173.655001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66233.9, ""spot_coinbase"": 66224.195, ""distance_kraken"": 183.36000099999364, ""distance_coinbase"": 173.65500100000645}",1773010758.11463
173,fifteen_min_KXETH15M-26MAR081900,eth,0,42.0,0,3.98000000000002,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1942.6, ""spot_coinbase"": 1942.5, ""distance_kraken"": 4.079999999999927, ""distance_coinbase"": 3.980000000000018}",1773010759.1041
174,fifteen_min_KXSOL15M-26MAR081900,sol,0,41.0,0,0.0888000000000062,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.935, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.08880000000000621}",1773010759.92173
175,fifteen_min_KXXRP15M-26MAR081900,xrp,0,41.0,0,0.00174000000000007,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34504, ""spot_coinbase"": 1.34505, ""distance_kraken"": 0.0017400000000000748, ""distance_coinbase"": 0.0017500000000001403}",1773010760.76898
176,fifteen_min_KXBTC15M-26MAR081900,btc,0,39.0,0,173.655001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66232.8, ""spot_coinbase"": 66224.195, ""distance_kraken"": 182.26000100000238, ""distance_coinbase"": 173.65500100000645}",1773010762.7115
177,fifteen_min_KXETH15M-26MAR081900,eth,0,38.0,0,3.98000000000002,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1942.6, ""spot_coinbase"": 1942.5, ""distance_kraken"": 4.079999999999927, ""distance_coinbase"": 3.980000000000018}",1773010763.61484
178,fifteen_min_KXSOL15M-26MAR081900,sol,0,37.0,0,0.0888000000000062,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.935, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.08880000000000621}",1773010764.54238
179,fifteen_min_KXXRP15M-26MAR081900,xrp,0,36.0,0,0.00174000000000007,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34504, ""spot_coinbase"": 1.34505, ""distance_kraken"": 0.0017400000000000748, ""distance_coinbase"": 0.0017500000000001403}",1773010765.38225
180,fifteen_min_KXBTC15M-26MAR081900,btc,0,34.0,0,178.125000999993,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66232.8, ""spot_coinbase"": 66228.665, ""distance_kraken"": 182.26000100000238, ""distance_coinbase"": 178.12500099999306}",1773010767.21281
